"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2005","Belgium","Age reached during the year","Total","Number","Total","132,810",""
"2005","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2005","Czech Republic","Age reached during the year","Total","Number","Total","60,294",""
"2005","Denmark","Age reached during the year","Total","Number","Total","52,458",""
"2005","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","707,352",""
"2005","Estonia","Age reached during the year","Total","Number","Total","1,436",""
"2005","Ireland","Age reached during the year","Total","Number","Total","102,000",""
"2005","Greece","Age reached during the year","Total","Number","Total","70,933",""
"2005","Spain","Age reached during the year","Total","Number","Total","719,284",""
"2005","France","Age reached during the year","Total","Number","Total",":",""
"2005","Croatia","Age reached during the year","Total","Number","Total",":",""
"2005","Italy","Age reached during the year","Total","Number","Total","304,960",""
"2005","Cyprus","Age reached during the year","Total","Number","Total","10,320",""
"2005","Latvia","Age reached during the year","Total","Number","Total","6,691",""
"2005","Lithuania","Age reached during the year","Total","Number","Total","6,789",""
"2005","Luxembourg","Age reached during the year","Total","Number","Total","14,397",""
"2005","Hungary","Age reached during the year","Total","Number","Total","27,820",""
"2005","Malta","Age reached during the year","Total","Number","Total","2,075",""
"2005","Netherlands","Age reached during the year","Total","Number","Total","92,297",""
"2005","Austria","Age reached during the year","Total","Number","Total","114,465",""
"2005","Poland","Age reached during the year","Total","Number","Total","9,364",""
"2005","Portugal","Age reached during the year","Total","Number","Total","21,741",""
"2005","Romania","Age reached during the year","Total","Number","Total",":",""
"2005","Slovenia","Age reached during the year","Total","Number","Total","15,041",""
"2005","Slovakia","Age reached during the year","Total","Number","Total","5,276",""
"2005","Finland","Age reached during the year","Total","Number","Total","21,355",""
"2005","Sweden","Age reached during the year","Total","Number","Total","65,229",""
"2005","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2005","Iceland","Age reached during the year","Total","Number","Total","7,773",""
"2005","Liechtenstein","Age reached during the year","Total","Number","Total",":",""
"2005","Norway","Age reached during the year","Total","Number","Total","40,148",""
"2005","Switzerland","Age reached during the year","Total","Number","Total","118,270",""
"2006","Belgium","Age reached during the year","Total","Number","Total","137,699",""
"2006","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2006","Czech Republic","Age reached during the year","Total","Number","Total","68,183",""
"2006","Denmark","Age reached during the year","Total","Number","Total","56,750",""
"2006","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","661,855",""
"2006","Estonia","Age reached during the year","Total","Number","Total","2,234",""
"2006","Ireland","Age reached during the year","Total","Number","Total","139,434","b"
"2006","Greece","Age reached during the year","Total","Number","Total","63,094",""
"2006","Spain","Age reached during the year","Total","Number","Total","840,844",""
"2006","France","Age reached during the year","Total","Number","Total","301,544","b"
"2006","Croatia","Age reached during the year","Total","Number","Total","14,978",""
"2006","Italy","Age reached during the year","Total","Number","Total","279,714",""
"2006","Cyprus","Age reached during the year","Total","Number","Total","13,077",""
"2006","Latvia","Age reached during the year","Total","Number","Total","8,212",""
"2006","Lithuania","Age reached during the year","Total","Number","Total","7,745",""
"2006","Luxembourg","Age reached during the year","Total","Number","Total","14,352",""
"2006","Hungary","Age reached during the year","Total","Number","Total","25,732","p"
"2006","Malta","Age reached during the year","Total","Number","Total","3,889",""
"2006","Netherlands","Age reached during the year","Total","Number","Total","101,150",""
"2006","Austria","Age reached during the year","Total","Number","Total","98,535",""
"2006","Poland","Age reached during the year","Total","Number","Total","10,802",""
"2006","Portugal","Age reached during the year","Total","Number","Total","22,741",""
"2006","Romania","Age reached during the year","Total","Number","Total",":",""
"2006","Slovenia","Age reached during the year","Total","Number","Total","20,016",""
"2006","Slovakia","Age reached during the year","Total","Number","Total","5,589",""
"2006","Finland","Age reached during the year","Total","Number","Total","22,451",""
"2006","Sweden","Age reached during the year","Total","Number","Total","95,750",""
"2006","United Kingdom","Age reached during the year","Total","Number","Total","529,008",""
"2006","Iceland","Age reached during the year","Total","Number","Total","9,832",""
"2006","Liechtenstein","Age reached during the year","Total","Number","Total",":",""
"2006","Norway","Age reached during the year","Total","Number","Total","45,776",""
"2006","Switzerland","Age reached during the year","Total","Number","Total","127,586",""
"2007","Belgium","Age reached during the year","Total","Number","Total","146,409",""
"2007","Bulgaria","Age reached during the year","Total","Number","Total","1,561",""
"2007","Czech Republic","Age reached during the year","Total","Number","Total","104,445",""
"2007","Denmark","Age reached during the year","Total","Number","Total","64,656",""
"2007","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","680,766",""
"2007","Estonia","Age reached during the year","Total","Number","Total","3,741",""
"2007","Ireland","Age reached during the year","Total","Number","Total","122,415",""
"2007","Greece","Age reached during the year","Total","Number","Total","63,298",""
"2007","Spain","Age reached during the year","Total","Number","Total","958,266",""
"2007","France","Age reached during the year","Total","Number","Total","293,980",""
"2007","Croatia","Age reached during the year","Total","Number","Total","14,622",""
"2007","Italy","Age reached during the year","Total","Number","Total","527,123",""
"2007","Cyprus","Age reached during the year","Total","Number","Total","19,328",""
"2007","Latvia","Age reached during the year","Total","Number","Total","7,517",""
"2007","Lithuania","Age reached during the year","Total","Number","Total","8,609",""
"2007","Luxembourg","Age reached during the year","Total","Number","Total","16,675",""
"2007","Hungary","Age reached during the year","Total","Number","Total","24,361",""
"2007","Malta","Age reached during the year","Total","Number","Total","5,292",""
"2007","Netherlands","Age reached during the year","Total","Number","Total","116,819",""
"2007","Austria","Age reached during the year","Total","Number","Total","72,862","b"
"2007","Poland","Age reached during the year","Total","Number","Total","14,995",""
"2007","Portugal","Age reached during the year","Total","Number","Total","29,661",""
"2007","Romania","Age reached during the year","Total","Number","Total",":",""
"2007","Slovenia","Age reached during the year","Total","Number","Total","29,193",""
"2007","Slovakia","Age reached during the year","Total","Number","Total","8,624",""
"2007","Finland","Age reached during the year","Total","Number","Total","26,029",""
"2007","Sweden","Age reached during the year","Total","Number","Total","99,485",""
"2007","United Kingdom","Age reached during the year","Total","Number","Total","526,714",""
"2007","Iceland","Age reached during the year","Total","Number","Total","12,546",""
"2007","Liechtenstein","Age reached during the year","Total","Number","Total",":",""
"2007","Norway","Age reached during the year","Total","Number","Total","61,774",""
"2007","Switzerland","Age reached during the year","Total","Number","Total","165,634",""
"2008","Belgium","Age reached during the year","Total","Number","Total",":",""
"2008","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2008","Czech Republic","Age reached during the year","Total","Number","Total","108,267","b"
"2008","Denmark","Age reached during the year","Total","Number","Total","57,357","b"
"2008","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","682,146",""
"2008","Estonia","Age reached during the year","Total","Number","Total","3,671","b"
"2008","Ireland","Age reached during the year","Total","Number","Total","82,592",""
"2008","Greece","Age reached during the year","Total","Number","Total","66,529","b"
"2008","Spain","Age reached during the year","Total","Number","Total","599,075","b"
"2008","France","Age reached during the year","Total","Number","Total","296,608",""
"2008","Croatia","Age reached during the year","Total","Number","Total",":",""
"2008","Italy","Age reached during the year","Total","Number","Total","534,712","b"
"2008","Cyprus","Age reached during the year","Total","Number","Total","21,060",""
"2008","Latvia","Age reached during the year","Total","Number","Total","4,678",""
"2008","Lithuania","Age reached during the year","Total","Number","Total","9,297",""
"2008","Luxembourg","Age reached during the year","Total","Number","Total","17,758",""
"2008","Hungary","Age reached during the year","Total","Number","Total","37,652","b"
"2008","Malta","Age reached during the year","Total","Number","Total","6,043",""
"2008","Netherlands","Age reached during the year","Total","Number","Total","143,516",""
"2008","Austria","Age reached during the year","Total","Number","Total","73,772",""
"2008","Poland","Age reached during the year","Total","Number","Total","15,275",""
"2008","Portugal","Age reached during the year","Total","Number","Total","29,718",""
"2008","Romania","Age reached during the year","Total","Number","Total","138,929","b"
"2008","Slovenia","Age reached during the year","Total","Number","Total","30,693","b"
"2008","Slovakia","Age reached during the year","Total","Number","Total","17,820","b"
"2008","Finland","Age reached during the year","Total","Number","Total","29,114",""
"2008","Sweden","Age reached during the year","Total","Number","Total","101,171",""
"2008","United Kingdom","Age reached during the year","Total","Number","Total","590,242","b"
"2008","Iceland","Age reached during the year","Total","Number","Total","10,288",""
"2008","Liechtenstein","Age reached during the year","Total","Number","Total","578","b"
"2008","Norway","Age reached during the year","Total","Number","Total","58,123","b"
"2008","Switzerland","Age reached during the year","Total","Number","Total","184,297",""
"2009","Belgium","Age reached during the year","Total","Number","Total",":",""
"2009","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2009","Czech Republic","Age reached during the year","Total","Number","Total","75,620",""
"2009","Denmark","Age reached during the year","Total","Number","Total","51,800",""
"2009","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","346,216","b"
"2009","Estonia","Age reached during the year","Total","Number","Total","3,884",""
"2009","Ireland","Age reached during the year","Total","Number","Total","50,604",""
"2009","Greece","Age reached during the year","Total","Number","Total","58,613",""
"2009","Spain","Age reached during the year","Total","Number","Total","392,962",""
"2009","France","Age reached during the year","Total","Number","Total","296,970",""
"2009","Croatia","Age reached during the year","Total","Number","Total",":",""
"2009","Italy","Age reached during the year","Total","Number","Total","442,940",""
"2009","Cyprus","Age reached during the year","Total","Number","Total","22,581","b"
"2009","Latvia","Age reached during the year","Total","Number","Total","3,731",""
"2009","Lithuania","Age reached during the year","Total","Number","Total","6,487",""
"2009","Luxembourg","Age reached during the year","Total","Number","Total","15,751",""
"2009","Hungary","Age reached during the year","Total","Number","Total","27,894",""
"2009","Malta","Age reached during the year","Total","Number","Total","6,161",""
"2009","Netherlands","Age reached during the year","Total","Number","Total","122,917","b"
"2009","Austria","Age reached during the year","Total","Number","Total","69,295",""
"2009","Poland","Age reached during the year","Total","Number","Total","189,166","b"
"2009","Portugal","Age reached during the year","Total","Number","Total","32,307",""
"2009","Romania","Age reached during the year","Total","Number","Total","135,844",""
"2009","Slovenia","Age reached during the year","Total","Number","Total","30,296",""
"2009","Slovakia","Age reached during the year","Total","Number","Total","15,643",""
"2009","Finland","Age reached during the year","Total","Number","Total","26,699",""
"2009","Sweden","Age reached during the year","Total","Number","Total","102,280",""
"2009","United Kingdom","Age reached during the year","Total","Number","Total","566,514",""
"2009","Iceland","Age reached during the year","Total","Number","Total","3,921","b"
"2009","Liechtenstein","Age reached during the year","Total","Number","Total","584",""
"2009","Norway","Age reached during the year","Total","Number","Total","55,953",""
"2009","Switzerland","Age reached during the year","Total","Number","Total","160,623",""
"2010","Belgium","Age reached during the year","Total","Number","Total","135,281","b"
"2010","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2010","Czech Republic","Age reached during the year","Total","Number","Total","48,317",""
"2010","Denmark","Age reached during the year","Total","Number","Total","52,236",""
"2010","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","404,055",""
"2010","Estonia","Age reached during the year","Total","Number","Total","2,810",""
"2010","Ireland","Age reached during the year","Total","Number","Total","52,339",""
"2010","Greece","Age reached during the year","Total","Number","Total","60,462",""
"2010","Spain","Age reached during the year","Total","Number","Total","360,705",""
"2010","France","Age reached during the year","Total","Number","Total","307,111","b"
"2010","Croatia","Age reached during the year","Total","Number","Total",":",""
"2010","Italy","Age reached during the year","Total","Number","Total","458,856",""
"2010","Cyprus","Age reached during the year","Total","Number","Total","20,206",""
"2010","Latvia","Age reached during the year","Total","Number","Total","4,011",""
"2010","Lithuania","Age reached during the year","Total","Number","Total","5,213",""
"2010","Luxembourg","Age reached during the year","Total","Number","Total","16,962",""
"2010","Hungary","Age reached during the year","Total","Number","Total","25,519","b"
"2010","Malta","Age reached during the year","Total","Number","Total","4,275",""
"2010","Netherlands","Age reached during the year","Total","Number","Total","126,776",""
"2010","Austria","Age reached during the year","Total","Number","Total","70,978",""
"2010","Poland","Age reached during the year","Total","Number","Total","155,131",""
"2010","Portugal","Age reached during the year","Total","Number","Total","27,575",""
"2010","Romania","Age reached during the year","Total","Number","Total","149,885",""
"2010","Slovenia","Age reached during the year","Total","Number","Total","15,416",""
"2010","Slovakia","Age reached during the year","Total","Number","Total","13,770",""
"2010","Finland","Age reached during the year","Total","Number","Total","25,636",""
"2010","Sweden","Age reached during the year","Total","Number","Total","98,801",""
"2010","United Kingdom","Age reached during the year","Total","Number","Total","590,950",""
"2010","Iceland","Age reached during the year","Total","Number","Total","3,948",""
"2010","Liechtenstein","Age reached during the year","Total","Number","Total","591",""
"2010","Norway","Age reached during the year","Total","Number","Total","69,214",""
"2010","Switzerland","Age reached during the year","Total","Number","Total","161,778",""
"2011","Belgium","Age reached during the year","Total","Number","Total","144,698",""
"2011","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2011","Czech Republic","Age reached during the year","Total","Number","Total","27,114",""
"2011","Denmark","Age reached during the year","Total","Number","Total","52,833",""
"2011","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","489,422",""
"2011","Estonia","Age reached during the year","Total","Number","Total","3,709",""
"2011","Ireland","Age reached during the year","Total","Number","Total","53,224",""
"2011","Greece","Age reached during the year","Total","Number","Total","60,089",""
"2011","Spain","Age reached during the year","Total","Number","Total","371,331",""
"2011","France","Age reached during the year","Total","Number","Total","319,816",""
"2011","Croatia","Age reached during the year","Total","Number","Total","8,534","b"
"2011","Italy","Age reached during the year","Total","Number","Total","385,793",""
"2011","Cyprus","Age reached during the year","Total","Number","Total","23,037",""
"2011","Latvia","Age reached during the year","Total","Number","Total","10,234","b"
"2011","Lithuania","Age reached during the year","Total","Number","Total","15,685",""
"2011","Luxembourg","Age reached during the year","Total","Number","Total","20,268",""
"2011","Hungary","Age reached during the year","Total","Number","Total","28,018",""
"2011","Malta","Age reached during the year","Total","Number","Total","5,465",""
"2011","Netherlands","Age reached during the year","Total","Number","Total","130,118",""
"2011","Austria","Age reached during the year","Total","Number","Total","82,230",""
"2011","Poland","Age reached during the year","Total","Number","Total","157,059",""
"2011","Portugal","Age reached during the year","Total","Number","Total","19,667",""
"2011","Romania","Age reached during the year","Total","Number","Total","147,685",""
"2011","Slovenia","Age reached during the year","Total","Number","Total","14,083",""
"2011","Slovakia","Age reached during the year","Total","Number","Total","4,829","b"
"2011","Finland","Age reached during the year","Total","Number","Total","29,481",""
"2011","Sweden","Age reached during the year","Total","Number","Total","96,467",""
"2011","United Kingdom","Age reached during the year","Total","Number","Total","566,044",""
"2011","Iceland","Age reached during the year","Total","Number","Total","4,073",""
"2011","Liechtenstein","Age reached during the year","Total","Number","Total","650",""
"2011","Norway","Age reached during the year","Total","Number","Total","70,337",""
"2011","Switzerland","Age reached during the year","Total","Number","Total","148,799","b"
"2012","Belgium","Age reached during the year","Total","Number","Total","147,387","b"
"2012","Bulgaria","Age reached during the year","Total","Number","Total","14,103","bp"
"2012","Czech Republic","Age reached during the year","Total","Number","Total","34,337",""
"2012","Denmark","Age reached during the year","Total","Number","Total","54,409",""
"2012","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","592,175",""
"2012","Estonia","Age reached during the year","Total","Number","Total","2,639",""
"2012","Ireland","Age reached during the year","Total","Number","Total","54,439",""
"2012","Greece","Age reached during the year","Total","Number","Total","58,200",""
"2012","Spain","Age reached during the year","Total","Number","Total","304,053",""
"2012","France","Age reached during the year","Total","Number","Total","327,431",""
"2012","Croatia","Age reached during the year","Total","Number","Total","8,959",""
"2012","Italy","Age reached during the year","Total","Number","Total","350,772",""
"2012","Cyprus","Age reached during the year","Total","Number","Total","17,476",""
"2012","Latvia","Age reached during the year","Total","Number","Total","13,303",""
"2012","Lithuania","Age reached during the year","Total","Number","Total","19,843",""
"2012","Luxembourg","Age reached during the year","Total","Number","Total","20,478",""
"2012","Hungary","Age reached during the year","Total","Number","Total","33,702",""
"2012","Malta","Age reached during the year","Total","Number","Total","7,111",""
"2012","Netherlands","Age reached during the year","Total","Number","Total","124,566",""
"2012","Austria","Age reached during the year","Total","Number","Total","91,557",""
"2012","Poland","Age reached during the year","Total","Number","Total","217,546",""
"2012","Portugal","Age reached during the year","Total","Number","Total","14,606",""
"2012","Romania","Age reached during the year","Total","Number","Total","167,266",""
"2012","Slovenia","Age reached during the year","Total","Number","Total","15,022",""
"2012","Slovakia","Age reached during the year","Total","Number","Total","5,419","b"
"2012","Finland","Age reached during the year","Total","Number","Total","31,278",""
"2012","Sweden","Age reached during the year","Total","Number","Total","103,059",""
"2012","United Kingdom","Age reached during the year","Total","Number","Total","498,040",""
"2012","Iceland","Age reached during the year","Total","Number","Total","4,960",""
"2012","Liechtenstein","Age reached during the year","Total","Number","Total","671",""
"2012","Norway","Age reached during the year","Total","Number","Total","69,908",""
"2012","Switzerland","Age reached during the year","Total","Number","Total","149,051",""
"2013","Belgium","Age reached during the year","Total","Number","Total","118,256",""
"2013","Bulgaria","Age reached during the year","Total","Number","Total","18,570","p"
"2013","Czech Republic","Age reached during the year","Total","Number","Total","30,124",""
"2013","Denmark","Age reached during the year","Total","Number","Total","60,312",""
"2013","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","692,713",""
"2013","Estonia","Age reached during the year","Total","Number","Total","4,109",""
"2013","Ireland","Age reached during the year","Total","Number","Total","59,294","p"
"2013","Greece","Age reached during the year","Total","Number","Total","57,946",""
"2013","Spain","Age reached during the year","Total","Number","Total","280,772",""
"2013","France","Age reached during the year","Total","Number","Total","332,640",""
"2013","Croatia","Age reached during the year","Total","Number","Total","10,378",""
"2013","Italy","Age reached during the year","Total","Number","Total","307,454",""
"2013","Cyprus","Age reached during the year","Total","Number","Total","13,149",""
"2013","Latvia","Age reached during the year","Total","Number","Total","8,299",""
"2013","Lithuania","Age reached during the year","Total","Number","Total","22,011",""
"2013","Luxembourg","Age reached during the year","Total","Number","Total","21,098",""
"2013","Hungary","Age reached during the year","Total","Number","Total","38,968",""
"2013","Malta","Age reached during the year","Total","Number","Total","8,428",""
"2013","Netherlands","Age reached during the year","Total","Number","Total","129,428",""
"2013","Austria","Age reached during the year","Total","Number","Total","101,866",""
"2013","Poland","Age reached during the year","Total","Number","Total","220,311",""
"2013","Portugal","Age reached during the year","Total","Number","Total","17,554",""
"2013","Romania","Age reached during the year","Total","Number","Total","153,646",""
"2013","Slovenia","Age reached during the year","Total","Number","Total","13,871",""
"2013","Slovakia","Age reached during the year","Total","Number","Total","5,149",""
"2013","Finland","Age reached during the year","Total","Number","Total","31,941",""
"2013","Sweden","Age reached during the year","Total","Number","Total","115,845",""
"2013","United Kingdom","Age reached during the year","Total","Number","Total","526,046",""
"2013","Iceland","Age reached during the year","Total","Number","Total","6,406",""
"2013","Liechtenstein","Age reached during the year","Total","Number","Total","696",""
"2013","Norway","Age reached during the year","Total","Number","Total","68,313",""
"2013","Switzerland","Age reached during the year","Total","Number","Total","160,157",""
"2014","Belgium","Age reached during the year","Total","Number","Total","124,844",""
"2014","Bulgaria","Age reached during the year","Total","Number","Total","26,615","p"
"2014","Czech Republic","Age reached during the year","Total","Number","Total","29,897",""
"2014","Denmark","Age reached during the year","Total","Number","Total","68,388",""
"2014","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","884,893",""
"2014","Estonia","Age reached during the year","Total","Number","Total","3,904",""
"2014","Ireland","Age reached during the year","Total","Number","Total","67,401","p"
"2014","Greece","Age reached during the year","Total","Number","Total","59,013",""
"2014","Spain","Age reached during the year","Total","Number","Total","305,454",""
"2014","France","Age reached during the year","Total","Number","Total","339,902",""
"2014","Croatia","Age reached during the year","Total","Number","Total","10,638",""
"2014","Italy","Age reached during the year","Total","Number","Total","277,631",""
"2014","Cyprus","Age reached during the year","Total","Number","Total","9,154",""
"2014","Latvia","Age reached during the year","Total","Number","Total","10,365",""
"2014","Lithuania","Age reached during the year","Total","Number","Total","24,294",""
"2014","Luxembourg","Age reached during the year","Total","Number","Total","22,332",""
"2014","Hungary","Age reached during the year","Total","Number","Total","54,581",""
"2014","Malta","Age reached during the year","Total","Number","Total","8,946",""
"2014","Netherlands","Age reached during the year","Total","Number","Total","145,323",""
"2014","Austria","Age reached during the year","Total","Number","Total","116,262",""
"2014","Poland","Age reached during the year","Total","Number","Total","222,275","p"
"2014","Portugal","Age reached during the year","Total","Number","Total","19,516",""
"2014","Romania","Age reached during the year","Total","Number","Total","136,035",""
"2014","Slovenia","Age reached during the year","Total","Number","Total","13,846",""
"2014","Slovakia","Age reached during the year","Total","Number","Total","5,357",""
"2014","Finland","Age reached during the year","Total","Number","Total","31,507",""
"2014","Sweden","Age reached during the year","Total","Number","Total","126,966",""
"2014","United Kingdom","Age reached during the year","Total","Number","Total","631,991",""
"2014","Iceland","Age reached during the year","Total","Number","Total","5,368",""
"2014","Liechtenstein","Age reached during the year","Total","Number","Total","615",""
"2014","Norway","Age reached during the year","Total","Number","Total","66,903",""
"2014","Switzerland","Age reached during the year","Total","Number","Total","156,282",""
