TIME,GEO,AGE,UNIT,SEX,Value,Flag and Footnotes
2006,European Union (28 countries),Total,Thousand persons,Total,19316,
2006,European Union (28 countries),Total,Percentage of total population,Total,5.1,
2006,European Union (28 countries),Total,Percentage of active population,Total,8.2,
2006,European Union (27 countries),Total,Thousand persons,Total,19101,
2006,European Union (27 countries),Total,Percentage of total population,Total,5.1,
2006,European Union (27 countries),Total,Percentage of active population,Total,8.2,
2006,European Union (25 countries),Total,Thousand persons,Total,18074,
2006,European Union (25 countries),Total,Percentage of total population,Total,5.1,
2006,European Union (25 countries),Total,Percentage of active population,Total,8.3,
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Thousand persons,Total,12336,
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of total population,Total,5.1,
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,8.4,
2006,Euro area (19 countries),Total,Thousand persons,Total,12985,
2006,Euro area (19 countries),Total,Percentage of total population,Total,5.2,
2006,Euro area (19 countries),Total,Percentage of active population,Total,8.4,
2006,Euro area (18 countries),Total,Thousand persons,Total,12897,
2006,Euro area (18 countries),Total,Percentage of total population,Total,5.2,
2006,Euro area (18 countries),Total,Percentage of active population,Total,8.4,
2006,Belgium,Total,Thousand persons,Total,383,
2006,Belgium,Total,Percentage of total population,Total,4.9,
2006,Belgium,Total,Percentage of active population,Total,8.3,
2006,Bulgaria,Total,Thousand persons,Total,309,
2006,Bulgaria,Total,Percentage of total population,Total,5.1,
2006,Bulgaria,Total,Percentage of active population,Total,9.0,
2006,Czech Republic,Total,Thousand persons,Total,371,
2006,Czech Republic,Total,Percentage of total population,Total,4.6,
2006,Czech Republic,Total,Percentage of active population,Total,7.1,
2006,Denmark,Total,Thousand persons,Total,114,i
2006,Denmark,Total,Percentage of total population,Total,2.8,i
2006,Denmark,Total,Percentage of active population,Total,3.9,i
2006,Germany (until 1990 former territory of the FRG),Total,Thousand persons,Total,4104,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage of total population,Total,6.6,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,10.1,
2006,Estonia,Total,Thousand persons,Total,41,
2006,Estonia,Total,Percentage of total population,Total,3.9,
2006,Estonia,Total,Percentage of active population,Total,5.9,
2006,Ireland,Total,Thousand persons,Total,97,
2006,Ireland,Total,Percentage of total population,Total,3.0,
2006,Ireland,Total,Percentage of active population,Total,4.5,
2006,Greece,Total,Thousand persons,Total,448,
2006,Greece,Total,Percentage of total population,Total,5.3,
2006,Greece,Total,Percentage of active population,Total,9.0,
2006,Spain,Total,Thousand persons,Total,1841,
2006,Spain,Total,Percentage of total population,Total,5.4,
2006,Spain,Total,Percentage of active population,Total,8.5,
2006,France,Total,Thousand persons,Total,2482,
2006,France,Total,Percentage of total population,Total,5.2,
2006,France,Total,Percentage of active population,Total,8.8,
2006,Croatia,Total,Thousand persons,Total,215,i
2006,Croatia,Total,Percentage of total population,Total,6.4,i
2006,Croatia,Total,Percentage of active population,Total,11.6,i
2006,Italy,Total,Thousand persons,Total,1654,
2006,Italy,Total,Percentage of total population,Total,3.7,
2006,Italy,Total,Percentage of active population,Total,6.8,
2006,Cyprus,Total,Thousand persons,Total,17,
2006,Cyprus,Total,Percentage of total population,Total,3.1,
2006,Cyprus,Total,Percentage of active population,Total,4.6,
2006,Latvia,Total,Thousand persons,Total,78,
2006,Latvia,Total,Percentage of total population,Total,4.5,
2006,Latvia,Total,Percentage of active population,Total,7.0,
2006,Lithuania,Total,Thousand persons,Total,88,
2006,Lithuania,Total,Percentage of total population,Total,3.5,
2006,Lithuania,Total,Percentage of active population,Total,5.8,
2006,Luxembourg,Total,Thousand persons,Total,9,i
2006,Luxembourg,Total,Percentage of total population,Total,2.8,i
2006,Luxembourg,Total,Percentage of active population,Total,4.6,i
2006,Hungary,Total,Thousand persons,Total,317,
2006,Hungary,Total,Percentage of total population,Total,4.1,
2006,Hungary,Total,Percentage of active population,Total,7.5,
2006,Malta,Total,Thousand persons,Total,11,
2006,Malta,Total,Percentage of total population,Total,3.6,
2006,Malta,Total,Percentage of active population,Total,6.8,
2006,Netherlands,Total,Thousand persons,Total,419,
2006,Netherlands,Total,Percentage of total population,Total,2.7,
2006,Netherlands,Total,Percentage of active population,Total,5.0,
2006,Austria,Total,Thousand persons,Total,212,
2006,Austria,Total,Percentage of total population,Total,3.4,
2006,Austria,Total,Percentage of active population,Total,5.3,
2006,Poland,Total,Thousand persons,Total,2311,
2006,Poland,Total,Percentage of total population,Total,8.0,
2006,Poland,Total,Percentage of active population,Total,13.9,
2006,Portugal,Total,Thousand persons,Total,478,
2006,Portugal,Total,Percentage of total population,Total,5.7,
2006,Portugal,Total,Percentage of active population,Total,8.9,
2006,Romania,Total,Thousand persons,Total,719,
2006,Romania,Total,Percentage of total population,Total,4.3,
2006,Romania,Total,Percentage of active population,Total,7.2,
2006,Slovenia,Total,Thousand persons,Total,61,
2006,Slovenia,Total,Percentage of total population,Total,3.8,
2006,Slovenia,Total,Percentage of active population,Total,6.0,
2006,Slovakia,Total,Thousand persons,Total,353,
2006,Slovakia,Total,Percentage of total population,Total,8.4,
2006,Slovakia,Total,Percentage of active population,Total,13.5,
2006,Finland,Total,Thousand persons,Total,204,
2006,Finland,Total,Percentage of total population,Total,5.2,
2006,Finland,Total,Percentage of active population,Total,7.7,
2006,Sweden,Total,Thousand persons,Total,336,
2006,Sweden,Total,Percentage of total population,Total,5.0,
2006,Sweden,Total,Percentage of active population,Total,7.1,
2006,United Kingdom,Total,Thousand persons,Total,1640,
2006,United Kingdom,Total,Percentage of total population,Total,3.7,
2006,United Kingdom,Total,Percentage of active population,Total,5.4,
2006,Iceland,Total,Thousand persons,Total,5,
2006,Iceland,Total,Percentage of total population,Total,2.3,
2006,Iceland,Total,Percentage of active population,Total,2.9,
2006,Norway,Total,Thousand persons,Total,84,b
2006,Norway,Total,Percentage of total population,Total,2.4,b
2006,Norway,Total,Percentage of active population,Total,3.4,b
2006,Turkey,Total,Thousand persons,Total,1983,
2006,Turkey,Total,Percentage of total population,Total,4.1,
2006,Turkey,Total,Percentage of active population,Total,9.0,
2006,United States,Total,Thousand persons,Total,7001,
2006,United States,Total,Percentage of total population,Total,,
2006,United States,Total,Percentage of active population,Total,4.6,
2006,Japan,Total,Thousand persons,Total,2751,
2006,Japan,Total,Percentage of total population,Total,,
2006,Japan,Total,Percentage of active population,Total,4.1,
2007,European Union (28 countries),Total,Thousand persons,Total,16988,
2007,European Union (28 countries),Total,Percentage of total population,Total,4.5,
2007,European Union (28 countries),Total,Percentage of active population,Total,7.2,
2007,European Union (27 countries),Total,Thousand persons,Total,16797,
2007,European Union (27 countries),Total,Percentage of total population,Total,4.5,
2007,European Union (27 countries),Total,Percentage of active population,Total,7.2,
2007,European Union (25 countries),Total,Thousand persons,Total,15921,
2007,European Union (25 countries),Total,Percentage of total population,Total,4.5,
2007,European Union (25 countries),Total,Percentage of active population,Total,7.2,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Thousand persons,Total,11238,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of total population,Total,4.6,
2007,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,7.5,
2007,Euro area (19 countries),Total,Thousand persons,Total,11722,
2007,Euro area (19 countries),Total,Percentage of total population,Total,4.6,
2007,Euro area (19 countries),Total,Percentage of active population,Total,7.5,
2007,Euro area (18 countries),Total,Thousand persons,Total,11658,
2007,Euro area (18 countries),Total,Percentage of total population,Total,4.7,
2007,Euro area (18 countries),Total,Percentage of active population,Total,7.5,
2007,Belgium,Total,Thousand persons,Total,353,
2007,Belgium,Total,Percentage of total population,Total,4.5,
2007,Belgium,Total,Percentage of active population,Total,7.5,
2007,Bulgaria,Total,Thousand persons,Total,242,
2007,Bulgaria,Total,Percentage of total population,Total,4.0,
2007,Bulgaria,Total,Percentage of active population,Total,6.9,
2007,Czech Republic,Total,Thousand persons,Total,276,
2007,Czech Republic,Total,Percentage of total population,Total,3.4,
2007,Czech Republic,Total,Percentage of active population,Total,5.3,
2007,Denmark,Total,Thousand persons,Total,111,
2007,Denmark,Total,Percentage of total population,Total,2.7,
2007,Denmark,Total,Percentage of active population,Total,3.8,
2007,Germany (until 1990 former territory of the FRG),Total,Thousand persons,Total,3473,
2007,Germany (until 1990 former territory of the FRG),Total,Percentage of total population,Total,5.6,
2007,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,8.5,
2007,Estonia,Total,Thousand persons,Total,32,
2007,Estonia,Total,Percentage of total population,Total,3.0,
2007,Estonia,Total,Percentage of active population,Total,4.6,
2007,Ireland,Total,Thousand persons,Total,105,
2007,Ireland,Total,Percentage of total population,Total,3.2,
2007,Ireland,Total,Percentage of active population,Total,4.7,
2007,Greece,Total,Thousand persons,Total,418,
2007,Greece,Total,Percentage of total population,Total,4.9,
2007,Greece,Total,Percentage of active population,Total,8.4,
2007,Spain,Total,Thousand persons,Total,1846,
2007,Spain,Total,Percentage of total population,Total,5.3,
2007,Spain,Total,Percentage of active population,Total,8.2,
2007,France,Total,Thousand persons,Total,2268,
2007,France,Total,Percentage of total population,Total,4.8,
2007,France,Total,Percentage of active population,Total,8.0,
2007,Croatia,Total,Thousand persons,Total,191,
2007,Croatia,Total,Percentage of total population,Total,5.7,
2007,Croatia,Total,Percentage of active population,Total,9.9,
2007,Italy,Total,Thousand persons,Total,1481,
2007,Italy,Total,Percentage of total population,Total,3.3,
2007,Italy,Total,Percentage of active population,Total,6.1,
2007,Cyprus,Total,Thousand persons,Total,15,
2007,Cyprus,Total,Percentage of total population,Total,2.7,
2007,Cyprus,Total,Percentage of active population,Total,3.9,
2007,Latvia,Total,Thousand persons,Total,68,
2007,Latvia,Total,Percentage of total population,Total,4.0,
2007,Latvia,Total,Percentage of active population,Total,6.1,
2007,Lithuania,Total,Thousand persons,Total,64,
2007,Lithuania,Total,Percentage of total population,Total,2.6,
2007,Lithuania,Total,Percentage of active population,Total,4.3,
2007,Luxembourg,Total,Thousand persons,Total,9,
2007,Luxembourg,Total,Percentage of total population,Total,2.4,
2007,Luxembourg,Total,Percentage of active population,Total,4.2,
2007,Hungary,Total,Thousand persons,Total,312,
2007,Hungary,Total,Percentage of total population,Total,4.1,
2007,Hungary,Total,Percentage of active population,Total,7.4,
2007,Malta,Total,Thousand persons,Total,11,
2007,Malta,Total,Percentage of total population,Total,3.4,
2007,Malta,Total,Percentage of active population,Total,6.5,
2007,Netherlands,Total,Thousand persons,Total,355,
2007,Netherlands,Total,Percentage of total population,Total,2.3,
2007,Netherlands,Total,Percentage of active population,Total,4.2,
2007,Austria,Total,Thousand persons,Total,200,
2007,Austria,Total,Percentage of total population,Total,3.2,
2007,Austria,Total,Percentage of active population,Total,4.9,
2007,Poland,Total,Thousand persons,Total,1579,
2007,Poland,Total,Percentage of total population,Total,5.5,
2007,Poland,Total,Percentage of active population,Total,9.6,
2007,Portugal,Total,Thousand persons,Total,494,
2007,Portugal,Total,Percentage of total population,Total,6.0,
2007,Portugal,Total,Percentage of active population,Total,9.1,
2007,Romania,Total,Thousand persons,Total,634,
2007,Romania,Total,Percentage of total population,Total,3.8,
2007,Romania,Total,Percentage of active population,Total,6.4,
2007,Slovenia,Total,Thousand persons,Total,50,
2007,Slovenia,Total,Percentage of total population,Total,3.1,
2007,Slovenia,Total,Percentage of active population,Total,4.9,
2007,Slovakia,Total,Thousand persons,Total,293,
2007,Slovakia,Total,Percentage of total population,Total,7.0,
2007,Slovakia,Total,Percentage of active population,Total,11.2,
2007,Finland,Total,Thousand persons,Total,183,
2007,Finland,Total,Percentage of total population,Total,4.6,
2007,Finland,Total,Percentage of active population,Total,6.9,
2007,Sweden,Total,Thousand persons,Total,298,
2007,Sweden,Total,Percentage of total population,Total,4.4,
2007,Sweden,Total,Percentage of active population,Total,6.1,
2007,United Kingdom,Total,Thousand persons,Total,1624,
2007,United Kingdom,Total,Percentage of total population,Total,3.6,
2007,United Kingdom,Total,Percentage of active population,Total,5.3,
2007,Iceland,Total,Thousand persons,Total,4,
2007,Iceland,Total,Percentage of total population,Total,1.9,
2007,Iceland,Total,Percentage of active population,Total,2.3,
2007,Norway,Total,Thousand persons,Total,63,
2007,Norway,Total,Percentage of total population,Total,1.8,
2007,Norway,Total,Percentage of active population,Total,2.5,
2007,Turkey,Total,Thousand persons,Total,2039,b
2007,Turkey,Total,Percentage of total population,Total,4.2,b
2007,Turkey,Total,Percentage of active population,Total,9.1,b
2007,United States,Total,Thousand persons,Total,7077,
2007,United States,Total,Percentage of total population,Total,,
2007,United States,Total,Percentage of active population,Total,4.6,
2007,Japan,Total,Thousand persons,Total,2568,
2007,Japan,Total,Percentage of total population,Total,,
2007,Japan,Total,Percentage of active population,Total,3.8,
2008,European Union (28 countries),Total,Thousand persons,Total,16750,
2008,European Union (28 countries),Total,Percentage of total population,Total,4.4,
2008,European Union (28 countries),Total,Percentage of active population,Total,7.0,
2008,European Union (27 countries),Total,Thousand persons,Total,16585,
2008,European Union (27 countries),Total,Percentage of total population,Total,4.4,
2008,European Union (27 countries),Total,Percentage of active population,Total,7.0,
2008,European Union (25 countries),Total,Thousand persons,Total,15834,
2008,European Union (25 countries),Total,Percentage of total population,Total,4.5,
2008,European Union (25 countries),Total,Percentage of active population,Total,7.1,
2008,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Thousand persons,Total,11482,
2008,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of total population,Total,4.7,
2008,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,7.6,
2008,Euro area (19 countries),Total,Thousand persons,Total,11951,
2008,Euro area (19 countries),Total,Percentage of total population,Total,4.7,
2008,Euro area (19 countries),Total,Percentage of active population,Total,7.6,
2008,Euro area (18 countries),Total,Thousand persons,Total,11863,
2008,Euro area (18 countries),Total,Percentage of total population,Total,4.7,
2008,Euro area (18 countries),Total,Percentage of active population,Total,7.6,
2008,Belgium,Total,Thousand persons,Total,333,
2008,Belgium,Total,Percentage of total population,Total,4.2,
2008,Belgium,Total,Percentage of active population,Total,7.0,
2008,Bulgaria,Total,Thousand persons,Total,202,
2008,Bulgaria,Total,Percentage of total population,Total,3.4,
2008,Bulgaria,Total,Percentage of active population,Total,5.6,
2008,Czech Republic,Total,Thousand persons,Total,230,
2008,Czech Republic,Total,Percentage of total population,Total,2.8,
2008,Czech Republic,Total,Percentage of active population,Total,4.4,
2008,Denmark,Total,Thousand persons,Total,101,
2008,Denmark,Total,Percentage of total population,Total,2.5,
2008,Denmark,Total,Percentage of active population,Total,3.4,
2008,Germany (until 1990 former territory of the FRG),Total,Thousand persons,Total,3018,
2008,Germany (until 1990 former territory of the FRG),Total,Percentage of total population,Total,4.9,
2008,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,7.4,
2008,Estonia,Total,Thousand persons,Total,38,i
2008,Estonia,Total,Percentage of total population,Total,3.7,i
2008,Estonia,Total,Percentage of active population,Total,5.5,i
2008,Ireland,Total,Thousand persons,Total,146,
2008,Ireland,Total,Percentage of total population,Total,4.3,
2008,Ireland,Total,Percentage of active population,Total,6.4,
2008,Greece,Total,Thousand persons,Total,388,
2008,Greece,Total,Percentage of total population,Total,4.6,
2008,Greece,Total,Percentage of active population,Total,7.8,
2008,Spain,Total,Thousand persons,Total,2596,
2008,Spain,Total,Percentage of total population,Total,7.4,
2008,Spain,Total,Percentage of active population,Total,11.3,
2008,France,Total,Thousand persons,Total,2121,
2008,France,Total,Percentage of total population,Total,4.4,
2008,France,Total,Percentage of active population,Total,7.4,
2008,Croatia,Total,Thousand persons,Total,165,
2008,Croatia,Total,Percentage of total population,Total,5.0,
2008,Croatia,Total,Percentage of active population,Total,8.6,
2008,Italy,Total,Thousand persons,Total,1664,
2008,Italy,Total,Percentage of total population,Total,3.7,
2008,Italy,Total,Percentage of active population,Total,6.7,
2008,Cyprus,Total,Thousand persons,Total,15,
2008,Cyprus,Total,Percentage of total population,Total,2.5,
2008,Cyprus,Total,Percentage of active population,Total,3.7,
2008,Latvia,Total,Thousand persons,Total,88,
2008,Latvia,Total,Percentage of total population,Total,5.2,
2008,Latvia,Total,Percentage of active population,Total,7.7,
2008,Lithuania,Total,Thousand persons,Total,88,
2008,Lithuania,Total,Percentage of total population,Total,3.6,
2008,Lithuania,Total,Percentage of active population,Total,5.8,
2008,Luxembourg,Total,Thousand persons,Total,10,
2008,Luxembourg,Total,Percentage of total population,Total,3.0,
2008,Luxembourg,Total,Percentage of active population,Total,4.9,
2008,Hungary,Total,Thousand persons,Total,326,i
2008,Hungary,Total,Percentage of total population,Total,4.2,i
2008,Hungary,Total,Percentage of active population,Total,7.8,i
2008,Malta,Total,Thousand persons,Total,10,
2008,Malta,Total,Percentage of total population,Total,3.2,
2008,Malta,Total,Percentage of active population,Total,6.0,
2008,Netherlands,Total,Thousand persons,Total,318,
2008,Netherlands,Total,Percentage of total population,Total,2.0,
2008,Netherlands,Total,Percentage of active population,Total,3.7,
2008,Austria,Total,Thousand persons,Total,172,
2008,Austria,Total,Percentage of total population,Total,2.7,
2008,Austria,Total,Percentage of active population,Total,4.1,
2008,Poland,Total,Thousand persons,Total,1165,
2008,Poland,Total,Percentage of total population,Total,4.1,
2008,Poland,Total,Percentage of active population,Total,7.1,
2008,Portugal,Total,Thousand persons,Total,476,
2008,Portugal,Total,Percentage of total population,Total,5.7,
2008,Portugal,Total,Percentage of active population,Total,8.8,
2008,Romania,Total,Thousand persons,Total,549,
2008,Romania,Total,Percentage of total population,Total,3.4,
2008,Romania,Total,Percentage of active population,Total,5.6,
2008,Slovenia,Total,Thousand persons,Total,46,
2008,Slovenia,Total,Percentage of total population,Total,2.8,
2008,Slovenia,Total,Percentage of active population,Total,4.4,
2008,Slovakia,Total,Thousand persons,Total,254,
2008,Slovakia,Total,Percentage of total population,Total,6.0,
2008,Slovakia,Total,Percentage of active population,Total,9.6,
2008,Finland,Total,Thousand persons,Total,172,
2008,Finland,Total,Percentage of total population,Total,4.3,
2008,Finland,Total,Percentage of active population,Total,6.4,
2008,Sweden,Total,Thousand persons,Total,305,
2008,Sweden,Total,Percentage of total population,Total,4.4,
2008,Sweden,Total,Percentage of active population,Total,6.2,
2008,United Kingdom,Total,Thousand persons,Total,1757,
2008,United Kingdom,Total,Percentage of total population,Total,3.9,
2008,United Kingdom,Total,Percentage of active population,Total,5.6,
2008,Iceland,Total,Thousand persons,Total,6,
2008,Iceland,Total,Percentage of total population,Total,2.4,
2008,Iceland,Total,Percentage of active population,Total,3.0,
2008,Norway,Total,Thousand persons,Total,66,
2008,Norway,Total,Percentage of total population,Total,1.9,
2008,Norway,Total,Percentage of active population,Total,2.5,
2008,Turkey,Total,Thousand persons,Total,2293,
2008,Turkey,Total,Percentage of total population,Total,4.7,
2008,Turkey,Total,Percentage of active population,Total,10.0,
2008,United States,Total,Thousand persons,Total,8924,
2008,United States,Total,Percentage of total population,Total,,
2008,United States,Total,Percentage of active population,Total,5.8,
2008,Japan,Total,Thousand persons,Total,2658,
2008,Japan,Total,Percentage of total population,Total,,
2008,Japan,Total,Percentage of active population,Total,4.0,
2009,European Union (28 countries),Total,Thousand persons,Total,21358,
2009,European Union (28 countries),Total,Percentage of total population,Total,5.6,
2009,European Union (28 countries),Total,Percentage of active population,Total,9.0,
2009,European Union (27 countries),Total,Thousand persons,Total,21180,
2009,European Union (27 countries),Total,Percentage of total population,Total,5.6,
2009,European Union (27 countries),Total,Percentage of active population,Total,9.0,
2009,European Union (25 countries),Total,Thousand persons,Total,20316,
2009,European Union (25 countries),Total,Percentage of total population,Total,5.7,
2009,European Union (25 countries),Total,Percentage of active population,Total,9.1,
2009,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Thousand persons,Total,14736,
2009,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of total population,Total,5.9,
2009,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,9.5,
2009,Euro area (19 countries),Total,Thousand persons,Total,15233,
2009,Euro area (19 countries),Total,Percentage of total population,Total,6.0,
2009,Euro area (19 countries),Total,Percentage of active population,Total,9.6,
2009,Euro area (18 countries),Total,Thousand persons,Total,15022,
2009,Euro area (18 countries),Total,Percentage of total population,Total,6.0,
2009,Euro area (18 countries),Total,Percentage of active population,Total,9.6,
2009,Belgium,Total,Thousand persons,Total,380,
2009,Belgium,Total,Percentage of total population,Total,4.7,
2009,Belgium,Total,Percentage of active population,Total,7.9,
2009,Bulgaria,Total,Thousand persons,Total,240,
2009,Bulgaria,Total,Percentage of total population,Total,4.0,
2009,Bulgaria,Total,Percentage of active population,Total,6.8,
2009,Czech Republic,Total,Thousand persons,Total,352,
2009,Czech Republic,Total,Percentage of total population,Total,4.2,
2009,Czech Republic,Total,Percentage of active population,Total,6.7,
2009,Denmark,Total,Thousand persons,Total,177,
2009,Denmark,Total,Percentage of total population,Total,4.3,
2009,Denmark,Total,Percentage of active population,Total,6.0,
2009,Germany (until 1990 former territory of the FRG),Total,Thousand persons,Total,3098,
